family,comparison,p_value,quantity_status,adjustment_method,p_adjusted,p_value_number_id,p_adjusted_number_id
F_legacy51,site:B|sex:F,0.1225,unreproduced,holm,1.0,N-MULTIPLICITY-0035-P_VALUE,N-MULTIPLICITY-0035-P_ADJUSTED
F_legacy51,site:B|sex:M,0.0,unreproduced,holm,0.0,N-MULTIPLICITY-0036-P_VALUE,N-MULTIPLICITY-0036-P_ADJUSTED
F_legacy51,site:B|age<50,0.03,unreproduced,holm,1.0,N-MULTIPLICITY-0037-P_VALUE,N-MULTIPLICITY-0037-P_ADJUSTED
F_legacy51,site:B|age50-70,0.0045,unreproduced,holm,0.18899999999999997,N-MULTIPLICITY-0038-P_VALUE,N-MULTIPLICITY-0038-P_ADJUSTED
F_legacy51,site:B|age>70,0.0723,unreproduced,holm,1.0,N-MULTIPLICITY-0039-P_VALUE,N-MULTIPLICITY-0039-P_ADJUSTED
F_legacy51,ward:A-W1,0.7462,unreproduced,holm,1.0,N-MULTIPLICITY-0040-P_VALUE,N-MULTIPLICITY-0040-P_ADJUSTED
F_legacy51,ward:A-W2,0.3185,unreproduced,holm,1.0,N-MULTIPLICITY-0041-P_VALUE,N-MULTIPLICITY-0041-P_ADJUSTED
F_legacy51,ward:A-W3,0.0004,unreproduced,holm,0.0188,N-MULTIPLICITY-0042-P_VALUE,N-MULTIPLICITY-0042-P_ADJUSTED
F_legacy51,ward:A-W4,0.1972,unreproduced,holm,1.0,N-MULTIPLICITY-0043-P_VALUE,N-MULTIPLICITY-0043-P_ADJUSTED
F_legacy51,ward:B-W1,0.125,unreproduced,holm,1.0,N-MULTIPLICITY-0044-P_VALUE,N-MULTIPLICITY-0044-P_ADJUSTED
F_legacy51,ward:B-W2,0.123,unreproduced,holm,1.0,N-MULTIPLICITY-0045-P_VALUE,N-MULTIPLICITY-0045-P_ADJUSTED
F_legacy51,ward:B-W3,0.0001,unreproduced,holm,0.0049,N-MULTIPLICITY-0046-P_VALUE,N-MULTIPLICITY-0046-P_ADJUSTED
F_legacy51,ward:B-W4,0.8465,unreproduced,holm,1.0,N-MULTIPLICITY-0047-P_VALUE,N-MULTIPLICITY-0047-P_ADJUSTED
F_legacy51,sex:F,0.0372,unreproduced,holm,1.0,N-MULTIPLICITY-0048-P_VALUE,N-MULTIPLICITY-0048-P_ADJUSTED
F_legacy51,sex:M,0.0,unreproduced,holm,0.0,N-MULTIPLICITY-0049-P_VALUE,N-MULTIPLICITY-0049-P_ADJUSTED
F_legacy51,age<50,0.0071,unreproduced,holm,0.2911,N-MULTIPLICITY-0050-P_VALUE,N-MULTIPLICITY-0050-P_ADJUSTED
F_legacy51,age50-70,0.0088,unreproduced,holm,0.35200000000000004,N-MULTIPLICITY-0051-P_VALUE,N-MULTIPLICITY-0051-P_ADJUSTED
F_legacy51,age>70,0.004,unreproduced,holm,0.17200000000000001,N-MULTIPLICITY-0052-P_VALUE,N-MULTIPLICITY-0052-P_ADJUSTED
F_legacy51,site:A|weekend,0.3817,unreproduced,holm,1.0,N-MULTIPLICITY-0053-P_VALUE,N-MULTIPLICITY-0053-P_ADJUSTED
F_legacy51,site:A|weekday,0.0106,unreproduced,holm,0.4028,N-MULTIPLICITY-0054-P_VALUE,N-MULTIPLICITY-0054-P_ADJUSTED
F_diagnostic,c1_pre_switch_placebo,0.715,sensitivity_only,holm,1.0,N-MULTIPLICITY-0055-P_VALUE,N-MULTIPLICITY-0055-P_ADJUSTED
F_diagnostic,c2_pre_switch_placebo,0.7975,sensitivity_only,holm,1.0,N-MULTIPLICITY-0056-P_VALUE,N-MULTIPLICITY-0056-P_ADJUSTED
F_diagnostic,patient_age_at_referral,0.6438,sensitivity_only,holm,1.0,N-MULTIPLICITY-0057-P_VALUE,N-MULTIPLICITY-0057-P_ADJUSTED
F_diagnostic,sex_distribution_female,0.2935,sensitivity_only,holm,1.0,N-MULTIPLICITY-0058-P_VALUE,N-MULTIPLICITY-0058-P_ADJUSTED
F_subgroup,c1:approach_a_interaction:sex:F_vs_M,0.6702,sensitivity_only,benjamini_yekutieli,1.0,N-MULTIPLICITY-0059-P_VALUE,N-MULTIPLICITY-0059-P_ADJUSTED
F_subgroup,c1:approach_a_interaction:age:age_40_64_vs_age_lt_40,0.8544,sensitivity_only,benjamini_yekutieli,1.0,N-MULTIPLICITY-0060-P_VALUE,N-MULTIPLICITY-0060-P_ADJUSTED
F_subgroup,c1:approach_a_interaction:age:age_ge_65_vs_age_lt_40,0.3285,sensitivity_only,benjamini_yekutieli,1.0,N-MULTIPLICITY-0061-P_VALUE,N-MULTIPLICITY-0061-P_ADJUSTED
F_subgroup,c2:approach_a_interaction:sex:F_vs_M,0.248,sensitivity_only,benjamini_yekutieli,1.0,N-MULTIPLICITY-0062-P_VALUE,N-MULTIPLICITY-0062-P_ADJUSTED
F_subgroup,c2:approach_a_interaction:age:age_40_64_vs_age_lt_40,0.712,sensitivity_only,benjamini_yekutieli,1.0,N-MULTIPLICITY-0063-P_VALUE,N-MULTIPLICITY-0063-P_ADJUSTED
F_subgroup,c2:approach_a_interaction:age:age_ge_65_vs_age_lt_40,0.2303,sensitivity_only,benjamini_yekutieli,1.0,N-MULTIPLICITY-0064-P_VALUE,N-MULTIPLICITY-0064-P_ADJUSTED
F_evaluation,llm_judge_vs_reviewer_1:balanced_accuracy,0.0001,observed,benjamini_yekutieli,0.00015000000000000001,N-MULTIPLICITY-0065-P_VALUE,N-MULTIPLICITY-0065-P_ADJUSTED
F_evaluation,llm_judge_vs_reviewer_2:balanced_accuracy,0.0001,observed,benjamini_yekutieli,0.00015000000000000001,N-MULTIPLICITY-0066-P_VALUE,N-MULTIPLICITY-0066-P_ADJUSTED
