period,cases,cancellation_rate,mean_readiness_days,quantity_status,cases_number_id,cancellation_rate_number_id,mean_readiness_days_number_id
after,5483.0,0.0704272926870461,9.10642191312836,reproduced,N-ANALYST-QUERY-OUTPUT-0001-CASES,N-ANALYST-QUERY-OUTPUT-0001-CANCELLATION_RATE,N-ANALYST-QUERY-OUTPUT-0001-MEAN_READINESS_DAYS
before,19635.0,0.0802705643063242,9.763626404114232,reproduced,N-ANALYST-QUERY-OUTPUT-0002-CASES,N-ANALYST-QUERY-OUTPUT-0002-CANCELLATION_RATE,N-ANALYST-QUERY-OUTPUT-0002-MEAN_READINESS_DAYS
