context,threshold_used,rows,true_positive_proxy,false_positive_proxy,false_negative_proxy,true_negative_proxy,flagged_per_100,missed_proxy_outcomes_per_100,unnecessary_flags_per_100,threshold_implied_false_positive_to_true_positive_cost_ratio,validity,quantity_status,limitation,threshold_used_number_id,rows_number_id,true_positive_proxy_number_id,false_positive_proxy_number_id,false_negative_proxy_number_id,true_negative_proxy_number_id,flagged_per_100_number_id,missed_proxy_outcomes_per_100_number_id,unnecessary_flags_per_100_number_id,threshold_implied_false_positive_to_true_positive_cost_ratio_number_id
all_observed_proxy_outcomes,0.62,38135,1,1569,3667,32898,4.116952930378917,9.615838468598401,4.1143306673659366,1.631578947368421,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,counts_use_unauthorized_proxy_and_do_not_measure_actual_clinical_consequences,N-THRESHOLD-CONSEQUENCES-0001-THRESHOLD_USED,N-THRESHOLD-CONSEQUENCES-0001-ROWS,N-THRESHOLD-CONSEQUENCES-0001-TRUE_POSITIVE_PROXY,N-THRESHOLD-CONSEQUENCES-0001-FALSE_POSITIVE_PROXY,N-THRESHOLD-CONSEQUENCES-0001-FALSE_NEGATIVE_PROXY,N-THRESHOLD-CONSEQUENCES-0001-TRUE_NEGATIVE_PROXY,N-THRESHOLD-CONSEQUENCES-0001-FLAGGED_PER_100,N-THRESHOLD-CONSEQUENCES-0001-MISSED_PROXY_OUTCOMES_PER_100,N-THRESHOLD-CONSEQUENCES-0001-UNNECESSARY_FLAGS_PER_100,N-THRESHOLD-CONSEQUENCES-0001-THRESHOLD_IMPLIED_FALSE_POSITIVE_TO_TRUE_POSITIVE_COST_RATIO
same_referral_day_only,0.62,7890,0,287,941,6662,3.637515842839037,11.926489226869455,3.637515842839037,1.631578947368421,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,counts_use_unauthorized_proxy_and_do_not_measure_actual_clinical_consequences,N-THRESHOLD-CONSEQUENCES-0002-THRESHOLD_USED,N-THRESHOLD-CONSEQUENCES-0002-ROWS,N-THRESHOLD-CONSEQUENCES-0002-TRUE_POSITIVE_PROXY,N-THRESHOLD-CONSEQUENCES-0002-FALSE_POSITIVE_PROXY,N-THRESHOLD-CONSEQUENCES-0002-FALSE_NEGATIVE_PROXY,N-THRESHOLD-CONSEQUENCES-0002-TRUE_NEGATIVE_PROXY,N-THRESHOLD-CONSEQUENCES-0002-FLAGGED_PER_100,N-THRESHOLD-CONSEQUENCES-0002-MISSED_PROXY_OUTCOMES_PER_100,N-THRESHOLD-CONSEQUENCES-0002-UNNECESSARY_FLAGS_PER_100,N-THRESHOLD-CONSEQUENCES-0002-THRESHOLD_IMPLIED_FALSE_POSITIVE_TO_TRUE_POSITIVE_COST_RATIO
