field_or_classification,source_type,count,ground_truth_status,quantity_status,count_number_id
reviewer_1,supplied_clinician_label,120,reviewer_specific_not_adjudicated,observed,N-LABEL-PROVENANCE-0001-COUNT
reviewer_2,supplied_clinician_label,120,reviewer_specific_not_adjudicated,observed,N-LABEL-PROVENANCE-0002-COUNT
adjudicated,supplied_empty_field,0,no_adjudication_supplied,observed,N-LABEL-PROVENANCE-0003-COUNT
candidate_created_agreement_hold,candidate_created_descriptive_classification,35,not_a_clinical_label,derived_observed,N-LABEL-PROVENANCE-0004-COUNT
candidate_created_agreement_proceed,candidate_created_descriptive_classification,67,not_a_clinical_label,derived_observed,N-LABEL-PROVENANCE-0005-COUNT
candidate_created_reviewer_disagreement,candidate_created_descriptive_classification,18,not_a_clinical_label,derived_observed,N-LABEL-PROVENANCE-0006-COUNT
