comparison,metric,estimate,lower,upper,interval_method,pairs,service_clusters,adjudicated_nonblank,quantity_status,interpretation,estimate_number_id,lower_number_id,upper_number_id,pairs_number_id,service_clusters_number_id,adjudicated_nonblank_number_id
reviewer_1_vs_reviewer_2,raw_agreement,0.85,0.7830152113500074,0.9137931034482759,service_cluster_percentile_bootstrap,120,24,0,supplied_clinician_labels_observed,agreement_not_ground_truth_no_adjudication,N-REVIEWER-AGREEMENT-0001-ESTIMATE,N-REVIEWER-AGREEMENT-0001-LOWER,N-REVIEWER-AGREEMENT-0001-UPPER,N-REVIEWER-AGREEMENT-0001-PAIRS,N-REVIEWER-AGREEMENT-0001-SERVICE_CLUSTERS,N-REVIEWER-AGREEMENT-0001-ADJUDICATED_NONBLANK
reviewer_1_vs_reviewer_2,chance_excess,0.3156944444444444,0.2335611657088479,0.3847168343248602,service_cluster_percentile_bootstrap,120,24,0,supplied_clinician_labels_observed,agreement_not_ground_truth_no_adjudication,N-REVIEWER-AGREEMENT-0002-ESTIMATE,N-REVIEWER-AGREEMENT-0002-LOWER,N-REVIEWER-AGREEMENT-0002-UPPER,N-REVIEWER-AGREEMENT-0002-PAIRS,N-REVIEWER-AGREEMENT-0002-SERVICE_CLUSTERS,N-REVIEWER-AGREEMENT-0002-ADJUDICATED_NONBLANK
reviewer_1_vs_reviewer_2,cohen_kappa,0.6779003877124962,0.5308849725818987,0.8142753562508291,service_cluster_percentile_bootstrap,120,24,0,supplied_clinician_labels_observed,agreement_not_ground_truth_no_adjudication,N-REVIEWER-AGREEMENT-0003-ESTIMATE,N-REVIEWER-AGREEMENT-0003-LOWER,N-REVIEWER-AGREEMENT-0003-UPPER,N-REVIEWER-AGREEMENT-0003-PAIRS,N-REVIEWER-AGREEMENT-0003-SERVICE_CLUSTERS,N-REVIEWER-AGREEMENT-0003-ADJUDICATED_NONBLANK
reviewer_1_vs_reviewer_2,gwet_ac1,0.7199170124481328,0.5880689835448073,0.844361990950226,service_cluster_percentile_bootstrap,120,24,0,supplied_clinician_labels_observed,agreement_not_ground_truth_no_adjudication,N-REVIEWER-AGREEMENT-0004-ESTIMATE,N-REVIEWER-AGREEMENT-0004-LOWER,N-REVIEWER-AGREEMENT-0004-UPPER,N-REVIEWER-AGREEMENT-0004-PAIRS,N-REVIEWER-AGREEMENT-0004-SERVICE_CLUSTERS,N-REVIEWER-AGREEMENT-0004-ADJUDICATED_NONBLANK
