icc,risk_difference,simulated_power,simulated_power_lower,simulated_power_upper,monte_carlo_standard_error,successful_simulations,favorable_detections,simulations,independent_components,weeks,empirical_lower_critical_value,analysis,quantity_status,limitation,icc_number_id,risk_difference_number_id,simulated_power_number_id,simulated_power_lower_number_id,simulated_power_upper_number_id,monte_carlo_standard_error_number_id,successful_simulations_number_id,favorable_detections_number_id,simulations_number_id,independent_components_number_id,weeks_number_id,empirical_lower_critical_value_number_id
0.03,-0.01,0.1745,0.15849452035891382,0.19175347742118176,0.008486747021091178,2000,349,2000,8,48,-2.5458951940273438,two_way_fixed_effects_cluster_robust_statistic_empirically_calibrated_under_null,provisional_simulated_planning_only,normal_approximate_binomial_persistent_component_and_AR1_working_correlation_proxy_baseline_fixed_final_analysis_and_inferred_components,N-POWER-SCENARIOS-0011-ICC,N-POWER-SCENARIOS-0011-RISK_DIFFERENCE,N-POWER-SCENARIOS-0011-SIMULATED_POWER,N-POWER-SCENARIOS-0011-SIMULATED_POWER_LOWER,N-POWER-SCENARIOS-0011-SIMULATED_POWER_UPPER,N-POWER-SCENARIOS-0011-MONTE_CARLO_STANDARD_ERROR,N-POWER-SCENARIOS-0011-SUCCESSFUL_SIMULATIONS,N-POWER-SCENARIOS-0011-FAVORABLE_DETECTIONS,N-POWER-SCENARIOS-0011-SIMULATIONS,N-POWER-SCENARIOS-0011-INDEPENDENT_COMPONENTS,N-POWER-SCENARIOS-0011-WEEKS,N-POWER-SCENARIOS-0011-EMPIRICAL_LOWER_CRITICAL_VALUE
0.03,-0.02,0.511,0.48909215158945685,0.5328656733703556,0.01117763391778421,2000,1022,2000,8,48,-2.5458951940273438,two_way_fixed_effects_cluster_robust_statistic_empirically_calibrated_under_null,provisional_simulated_planning_only,normal_approximate_binomial_persistent_component_and_AR1_working_correlation_proxy_baseline_fixed_final_analysis_and_inferred_components,N-POWER-SCENARIOS-0012-ICC,N-POWER-SCENARIOS-0012-RISK_DIFFERENCE,N-POWER-SCENARIOS-0012-SIMULATED_POWER,N-POWER-SCENARIOS-0012-SIMULATED_POWER_LOWER,N-POWER-SCENARIOS-0012-SIMULATED_POWER_UPPER,N-POWER-SCENARIOS-0012-MONTE_CARLO_STANDARD_ERROR,N-POWER-SCENARIOS-0012-SUCCESSFUL_SIMULATIONS,N-POWER-SCENARIOS-0012-FAVORABLE_DETECTIONS,N-POWER-SCENARIOS-0012-SIMULATIONS,N-POWER-SCENARIOS-0012-INDEPENDENT_COMPONENTS,N-POWER-SCENARIOS-0012-WEEKS,N-POWER-SCENARIOS-0012-EMPIRICAL_LOWER_CRITICAL_VALUE
0.03,-0.03,0.8,0.7819018061397925,0.8169479654914557,0.008944271909999158,2000,1600,2000,8,48,-2.5458951940273438,two_way_fixed_effects_cluster_robust_statistic_empirically_calibrated_under_null,provisional_simulated_planning_only,normal_approximate_binomial_persistent_component_and_AR1_working_correlation_proxy_baseline_fixed_final_analysis_and_inferred_components,N-POWER-SCENARIOS-0013-ICC,N-POWER-SCENARIOS-0013-RISK_DIFFERENCE,N-POWER-SCENARIOS-0013-SIMULATED_POWER,N-POWER-SCENARIOS-0013-SIMULATED_POWER_LOWER,N-POWER-SCENARIOS-0013-SIMULATED_POWER_UPPER,N-POWER-SCENARIOS-0013-MONTE_CARLO_STANDARD_ERROR,N-POWER-SCENARIOS-0013-SUCCESSFUL_SIMULATIONS,N-POWER-SCENARIOS-0013-FAVORABLE_DETECTIONS,N-POWER-SCENARIOS-0013-SIMULATIONS,N-POWER-SCENARIOS-0013-INDEPENDENT_COMPONENTS,N-POWER-SCENARIOS-0013-WEEKS,N-POWER-SCENARIOS-0013-EMPIRICAL_LOWER_CRITICAL_VALUE
0.03,-0.04,0.932,0.9201183001757066,0.942225370973291,0.005629209535982825,2000,1864,2000,8,48,-2.5458951940273438,two_way_fixed_effects_cluster_robust_statistic_empirically_calibrated_under_null,provisional_simulated_planning_only,normal_approximate_binomial_persistent_component_and_AR1_working_correlation_proxy_baseline_fixed_final_analysis_and_inferred_components,N-POWER-SCENARIOS-0014-ICC,N-POWER-SCENARIOS-0014-RISK_DIFFERENCE,N-POWER-SCENARIOS-0014-SIMULATED_POWER,N-POWER-SCENARIOS-0014-SIMULATED_POWER_LOWER,N-POWER-SCENARIOS-0014-SIMULATED_POWER_UPPER,N-POWER-SCENARIOS-0014-MONTE_CARLO_STANDARD_ERROR,N-POWER-SCENARIOS-0014-SUCCESSFUL_SIMULATIONS,N-POWER-SCENARIOS-0014-FAVORABLE_DETECTIONS,N-POWER-SCENARIOS-0014-SIMULATIONS,N-POWER-SCENARIOS-0014-INDEPENDENT_COMPONENTS,N-POWER-SCENARIOS-0014-WEEKS,N-POWER-SCENARIOS-0014-EMPIRICAL_LOWER_CRITICAL_VALUE
0.03,-0.05,0.972,0.9638155173143411,0.9783747900521559,0.0036889022757454573,2000,1944,2000,8,48,-2.5458951940273438,two_way_fixed_effects_cluster_robust_statistic_empirically_calibrated_under_null,provisional_simulated_planning_only,normal_approximate_binomial_persistent_component_and_AR1_working_correlation_proxy_baseline_fixed_final_analysis_and_inferred_components,N-POWER-SCENARIOS-0015-ICC,N-POWER-SCENARIOS-0015-RISK_DIFFERENCE,N-POWER-SCENARIOS-0015-SIMULATED_POWER,N-POWER-SCENARIOS-0015-SIMULATED_POWER_LOWER,N-POWER-SCENARIOS-0015-SIMULATED_POWER_UPPER,N-POWER-SCENARIOS-0015-MONTE_CARLO_STANDARD_ERROR,N-POWER-SCENARIOS-0015-SUCCESSFUL_SIMULATIONS,N-POWER-SCENARIOS-0015-FAVORABLE_DETECTIONS,N-POWER-SCENARIOS-0015-SIMULATIONS,N-POWER-SCENARIOS-0015-INDEPENDENT_COMPONENTS,N-POWER-SCENARIOS-0015-WEEKS,N-POWER-SCENARIOS-0015-EMPIRICAL_LOWER_CRITICAL_VALUE
0.03,-0.06,0.9895,0.9840010980925269,0.9931221126191265,0.0022792268425937726,2000,1979,2000,8,48,-2.5458951940273438,two_way_fixed_effects_cluster_robust_statistic_empirically_calibrated_under_null,provisional_simulated_planning_only,normal_approximate_binomial_persistent_component_and_AR1_working_correlation_proxy_baseline_fixed_final_analysis_and_inferred_components,N-POWER-SCENARIOS-0016-ICC,N-POWER-SCENARIOS-0016-RISK_DIFFERENCE,N-POWER-SCENARIOS-0016-SIMULATED_POWER,N-POWER-SCENARIOS-0016-SIMULATED_POWER_LOWER,N-POWER-SCENARIOS-0016-SIMULATED_POWER_UPPER,N-POWER-SCENARIOS-0016-MONTE_CARLO_STANDARD_ERROR,N-POWER-SCENARIOS-0016-SUCCESSFUL_SIMULATIONS,N-POWER-SCENARIOS-0016-FAVORABLE_DETECTIONS,N-POWER-SCENARIOS-0016-SIMULATIONS,N-POWER-SCENARIOS-0016-INDEPENDENT_COMPONENTS,N-POWER-SCENARIOS-0016-WEEKS,N-POWER-SCENARIOS-0016-EMPIRICAL_LOWER_CRITICAL_VALUE
0.03,-0.08,0.9965,0.9927928037467583,0.9983035683029576,0.0013205585939290896,2000,1993,2000,8,48,-2.5458951940273438,two_way_fixed_effects_cluster_robust_statistic_empirically_calibrated_under_null,provisional_simulated_planning_only,normal_approximate_binomial_persistent_component_and_AR1_working_correlation_proxy_baseline_fixed_final_analysis_and_inferred_components,N-POWER-SCENARIOS-0017-ICC,N-POWER-SCENARIOS-0017-RISK_DIFFERENCE,N-POWER-SCENARIOS-0017-SIMULATED_POWER,N-POWER-SCENARIOS-0017-SIMULATED_POWER_LOWER,N-POWER-SCENARIOS-0017-SIMULATED_POWER_UPPER,N-POWER-SCENARIOS-0017-MONTE_CARLO_STANDARD_ERROR,N-POWER-SCENARIOS-0017-SUCCESSFUL_SIMULATIONS,N-POWER-SCENARIOS-0017-FAVORABLE_DETECTIONS,N-POWER-SCENARIOS-0017-SIMULATIONS,N-POWER-SCENARIOS-0017-INDEPENDENT_COMPONENTS,N-POWER-SCENARIOS-0017-WEEKS,N-POWER-SCENARIOS-0017-EMPIRICAL_LOWER_CRITICAL_VALUE
0.03,-0.1,0.9975,0.9941608466835673,0.9989316912715861,0.001116635571706353,2000,1995,2000,8,48,-2.5458951940273438,two_way_fixed_effects_cluster_robust_statistic_empirically_calibrated_under_null,provisional_simulated_planning_only,normal_approximate_binomial_persistent_component_and_AR1_working_correlation_proxy_baseline_fixed_final_analysis_and_inferred_components,N-POWER-SCENARIOS-0018-ICC,N-POWER-SCENARIOS-0018-RISK_DIFFERENCE,N-POWER-SCENARIOS-0018-SIMULATED_POWER,N-POWER-SCENARIOS-0018-SIMULATED_POWER_LOWER,N-POWER-SCENARIOS-0018-SIMULATED_POWER_UPPER,N-POWER-SCENARIOS-0018-MONTE_CARLO_STANDARD_ERROR,N-POWER-SCENARIOS-0018-SUCCESSFUL_SIMULATIONS,N-POWER-SCENARIOS-0018-FAVORABLE_DETECTIONS,N-POWER-SCENARIOS-0018-SIMULATIONS,N-POWER-SCENARIOS-0018-INDEPENDENT_COMPONENTS,N-POWER-SCENARIOS-0018-WEEKS,N-POWER-SCENARIOS-0018-EMPIRICAL_LOWER_CRITICAL_VALUE
0.05,0.0,0.019,0.013873784918301425,0.025970414566263898,0.003052785613173647,2000,38,2000,8,48,-2.72033394525442,two_way_fixed_effects_cluster_robust_statistic_empirically_calibrated_under_null,provisional_simulated_planning_only,normal_approximate_binomial_persistent_component_and_AR1_working_correlation_proxy_baseline_fixed_final_analysis_and_inferred_components,N-POWER-SCENARIOS-0019-ICC,N-POWER-SCENARIOS-0019-RISK_DIFFERENCE,N-POWER-SCENARIOS-0019-SIMULATED_POWER,N-POWER-SCENARIOS-0019-SIMULATED_POWER_LOWER,N-POWER-SCENARIOS-0019-SIMULATED_POWER_UPPER,N-POWER-SCENARIOS-0019-MONTE_CARLO_STANDARD_ERROR,N-POWER-SCENARIOS-0019-SUCCESSFUL_SIMULATIONS,N-POWER-SCENARIOS-0019-FAVORABLE_DETECTIONS,N-POWER-SCENARIOS-0019-SIMULATIONS,N-POWER-SCENARIOS-0019-INDEPENDENT_COMPONENTS,N-POWER-SCENARIOS-0019-WEEKS,N-POWER-SCENARIOS-0019-EMPIRICAL_LOWER_CRITICAL_VALUE
0.05,-0.01,0.1285,0.11454272443866984,0.14388164169130105,0.007482905518580333,2000,257,2000,8,48,-2.72033394525442,two_way_fixed_effects_cluster_robust_statistic_empirically_calibrated_under_null,provisional_simulated_planning_only,normal_approximate_binomial_persistent_component_and_AR1_working_correlation_proxy_baseline_fixed_final_analysis_and_inferred_components,N-POWER-SCENARIOS-0020-ICC,N-POWER-SCENARIOS-0020-RISK_DIFFERENCE,N-POWER-SCENARIOS-0020-SIMULATED_POWER,N-POWER-SCENARIOS-0020-SIMULATED_POWER_LOWER,N-POWER-SCENARIOS-0020-SIMULATED_POWER_UPPER,N-POWER-SCENARIOS-0020-MONTE_CARLO_STANDARD_ERROR,N-POWER-SCENARIOS-0020-SUCCESSFUL_SIMULATIONS,N-POWER-SCENARIOS-0020-FAVORABLE_DETECTIONS,N-POWER-SCENARIOS-0020-SIMULATIONS,N-POWER-SCENARIOS-0020-INDEPENDENT_COMPONENTS,N-POWER-SCENARIOS-0020-WEEKS,N-POWER-SCENARIOS-0020-EMPIRICAL_LOWER_CRITICAL_VALUE
