component_id,site,services,sequence,rollout_week,full_exposure_week,planning_proxy_rate,planning_mean_weekly_referrals,planning_rows,assignment_status,quantity_status,sequence_number_id,rollout_week_number_id,full_exposure_week_number_id,planning_proxy_rate_number_id,planning_mean_weekly_referrals_number_id,planning_rows_number_id
IC-01,A,A-CARD;A-GEN;A-OPHT;A-PAED;A-PLAS;A-URO,4,40,42,0.0869882374395915,223,11575,illustrative_candidate_seed_not_operational_randomization,simulated_design_input_from_unauthorized_proxy,N-STUDY-ASSIGNMENT-0001-SEQUENCE,N-STUDY-ASSIGNMENT-0001-ROLLOUT_WEEK,N-STUDY-ASSIGNMENT-0001-FULL_EXPOSURE_WEEK,N-STUDY-ASSIGNMENT-0001-PLANNING_PROXY_RATE,N-STUDY-ASSIGNMENT-0001-PLANNING_MEAN_WEEKLY_REFERRALS,N-STUDY-ASSIGNMENT-0001-PLANNING_ROWS
IC-02,A,A-ENT;A-NEURO;A-ORTH,3,32,34,0.1147944686493654,106,5505,illustrative_candidate_seed_not_operational_randomization,simulated_design_input_from_unauthorized_proxy,N-STUDY-ASSIGNMENT-0002-SEQUENCE,N-STUDY-ASSIGNMENT-0002-ROLLOUT_WEEK,N-STUDY-ASSIGNMENT-0002-FULL_EXPOSURE_WEEK,N-STUDY-ASSIGNMENT-0002-PLANNING_PROXY_RATE,N-STUDY-ASSIGNMENT-0002-PLANNING_MEAN_WEEKLY_REFERRALS,N-STUDY-ASSIGNMENT-0002-PLANNING_ROWS
IC-03,A,A-GYN;A-THOR,2,24,26,0.0784313725490196,66,3430,illustrative_candidate_seed_not_operational_randomization,simulated_design_input_from_unauthorized_proxy,N-STUDY-ASSIGNMENT-0003-SEQUENCE,N-STUDY-ASSIGNMENT-0003-ROLLOUT_WEEK,N-STUDY-ASSIGNMENT-0003-FULL_EXPOSURE_WEEK,N-STUDY-ASSIGNMENT-0003-PLANNING_PROXY_RATE,N-STUDY-ASSIGNMENT-0003-PLANNING_MEAN_WEEKLY_REFERRALS,N-STUDY-ASSIGNMENT-0003-PLANNING_ROWS
IC-04,A,A-VASC,1,16,18,0.09921156373193167,30,1564,illustrative_candidate_seed_not_operational_randomization,simulated_design_input_from_unauthorized_proxy,N-STUDY-ASSIGNMENT-0004-SEQUENCE,N-STUDY-ASSIGNMENT-0004-ROLLOUT_WEEK,N-STUDY-ASSIGNMENT-0004-FULL_EXPOSURE_WEEK,N-STUDY-ASSIGNMENT-0004-PLANNING_PROXY_RATE,N-STUDY-ASSIGNMENT-0004-PLANNING_MEAN_WEEKLY_REFERRALS,N-STUDY-ASSIGNMENT-0004-PLANNING_ROWS
IC-05,B,B-CARD;B-OPHT;B-PAED,2,24,26,0.09125117591721543,86,4468,illustrative_candidate_seed_not_operational_randomization,simulated_design_input_from_unauthorized_proxy,N-STUDY-ASSIGNMENT-0005-SEQUENCE,N-STUDY-ASSIGNMENT-0005-ROLLOUT_WEEK,N-STUDY-ASSIGNMENT-0005-FULL_EXPOSURE_WEEK,N-STUDY-ASSIGNMENT-0005-PLANNING_PROXY_RATE,N-STUDY-ASSIGNMENT-0005-PLANNING_MEAN_WEEKLY_REFERRALS,N-STUDY-ASSIGNMENT-0005-PLANNING_ROWS
IC-06,B,B-ENT;B-GYN;B-NEURO;B-URO;B-VASC,3,32,34,0.10122528543581175,144,7514,illustrative_candidate_seed_not_operational_randomization,simulated_design_input_from_unauthorized_proxy,N-STUDY-ASSIGNMENT-0006-SEQUENCE,N-STUDY-ASSIGNMENT-0006-ROLLOUT_WEEK,N-STUDY-ASSIGNMENT-0006-FULL_EXPOSURE_WEEK,N-STUDY-ASSIGNMENT-0006-PLANNING_PROXY_RATE,N-STUDY-ASSIGNMENT-0006-PLANNING_MEAN_WEEKLY_REFERRALS,N-STUDY-ASSIGNMENT-0006-PLANNING_ROWS
IC-07,B,B-GEN,4,40,42,0.11527165932452275,28,1431,illustrative_candidate_seed_not_operational_randomization,simulated_design_input_from_unauthorized_proxy,N-STUDY-ASSIGNMENT-0007-SEQUENCE,N-STUDY-ASSIGNMENT-0007-ROLLOUT_WEEK,N-STUDY-ASSIGNMENT-0007-FULL_EXPOSURE_WEEK,N-STUDY-ASSIGNMENT-0007-PLANNING_PROXY_RATE,N-STUDY-ASSIGNMENT-0007-PLANNING_MEAN_WEEKLY_REFERRALS,N-STUDY-ASSIGNMENT-0007-PLANNING_ROWS
IC-08,B,B-ORTH;B-PLAS;B-THOR,1,16,18,0.09985902255639098,86,4460,illustrative_candidate_seed_not_operational_randomization,simulated_design_input_from_unauthorized_proxy,N-STUDY-ASSIGNMENT-0008-SEQUENCE,N-STUDY-ASSIGNMENT-0008-ROLLOUT_WEEK,N-STUDY-ASSIGNMENT-0008-FULL_EXPOSURE_WEEK,N-STUDY-ASSIGNMENT-0008-PLANNING_PROXY_RATE,N-STUDY-ASSIGNMENT-0008-PLANNING_MEAN_WEEKLY_REFERRALS,N-STUDY-ASSIGNMENT-0008-PLANNING_ROWS
